HEIGHT, TC, BUILD, OVERHEAD, REFINE, COQ
2,3e-05,0.00022,0.00086,0.001,0.0
4,3e-05,0.00027,0.00078,0.001,0.0
8,3e-05,0.00035,0.00069,0.001,0.001
16,3e-05,0.00053,0.00152,0.002,0.001
